team_abbreviation,fgm_restricted_area_pts_percentage,fgm_in_the_paint_(non-ra)_pts_percentage,fgm_mid-range_pts_percentage,fgm_left_corner_3_pts_percentage,fgm_right_corner_3_pts_percentage,fgm_above_the_break_3_pts_percentage,ftm_pts_percentage
ATL,0.34807668212003506,0.1207868688134319,0.05914045858914923,0.02931963413106127,0.028943741385791255,0.24245082069916052,0.17128179426137075
BKN,0.36473565804274466,0.08239595050618673,0.04190101237345332,0.04471316085489314,0.04260404949381327,0.2623734533183352,0.16155793025871765
BOS,0.31886061946902655,0.10564159292035398,0.08434734513274336,0.040237831858407076,0.023644911504424777,0.26548672566371684,0.16178097345132744
CHA,0.3551783749803552,0.10058148672010059,0.04023259468804023,0.0429042904290429,0.034417727487034415,0.2692126355492692,0.15747289014615748
CHI,0.3724078341013825,0.0907258064516129,0.049827188940092165,0.055299539170506916,0.03326612903225806,0.25360023041474655,0.1448732718894009
CLE,0.373696649520367,0.1326289448074517,0.08035590157097178,0.032531627971639096,0.03128041151119144,0.20561657166689837,0.14416794105380232
DAL,0.3027185892725937,0.09894685280431055,0.0683321087435709,0.03930933137398971,0.05106539309331374,0.28802351212343863,0.15160421258878276
DEN,0.339664189375172,0.11615744563721442,0.10872557115331682,0.04252683732452518,0.033856317093311314,0.2134599504541701,0.14560968896229012
DET,0.3007787151200519,0.10480207657365347,0.07040882543802726,0.06521739130434782,0.05937702790395847,0.24383517196625568,0.15509409474367294
GSW,0.3432896890343699,0.11456628477905073,0.09410801963993454,0.03743862520458265,0.0220949263502455,0.21358428805237317,0.17491816693944354
HOU,0.2956389452332657,0.06288032454361055,0.04158215010141988,0.05438640973630832,0.058950304259634885,0.31072515212981744,0.1758367139959432
IND,0.34079076966371186,0.11115801322639651,0.13676656817222457,0.040523427606585054,0.03334740396791895,0.19966230476994512,0.13775151259321797
LAC,0.2762224710712953,0.11322632823192734,0.10277466716436481,0.045166106756252336,0.036580813736468834,0.24225457260171707,0.18377504043797438
LAL,0.38393212249768,0.0774227760837863,0.09041495426222988,0.051703566220336734,0.04016969375580008,0.20482566618056477,0.15153122099960228
MEM,0.3445983379501385,0.1703601108033241,0.06731301939058172,0.03282548476454294,0.032409972299168976,0.20817174515235456,0.1448753462603878
MIA,0.2854559545337122,0.09403254972875226,0.07207439938000516,0.048824593128390596,0.04378713510720744,0.284035133040558,0.17372771893567554
MIL,0.32763819095477387,0.09095477386934674,0.07939698492462312,0.04522613065326633,0.03957286432160804,0.2664572864321608,0.1507537688442211
MIN,0.30720161154943765,0.07755581668625147,0.07218398522746348,0.03978512674164848,0.035756253147557496,0.31072687594426723,0.1562867215041128
NOP,0.34679590737749055,0.07862143241787829,0.06865912762520193,0.04483037156704362,0.05250403877221325,0.2637318255250404,0.14566505115778136
NYK,0.404179011383128,0.09854982067675035,0.09948542024013722,0.03414938406362077,0.03274598471854046,0.1847809137689069,0.14610946514891626
OKC,0.30046550994498517,0.11962194949922415,0.11933982225983919,0.031739314430808296,0.026237833262801522,0.2234447735928904,0.1787276061503738
ORL,0.3153115971935617,0.11170724996560738,0.09795019947723207,0.04209657449442839,0.01981015270326042,0.25381758151052414,0.15930664465538588
PHI,0.29832239241429614,0.1150012156576708,0.11670313639679067,0.037199124726477024,0.033187454412837346,0.24215900802334062,0.1574276683685874
PHX,0.32216600574319704,0.10036920552440859,0.10419800355531246,0.03692055244085875,0.038561465882674686,0.22234377136606043,0.176261452208396
POR,0.2955930281989514,0.09380756695479665,0.12469888054414056,0.03400878560294743,0.034859005243021116,0.2644183080629163,0.1526144253932266
SAC,0.32782226814776544,0.11960733660552829,0.08034099715835702,0.04766210281580987,0.037587186773443554,0.24334797210023248,0.1435029708085766
SAS,0.2618376550169109,0.12063134160090191,0.17333709131905298,0.0346674182638106,0.030439684329199548,0.2173055242390079,0.16178128523111612
TOR,0.34704334579698104,0.07256612657526658,0.055947929649633014,0.04694640631491483,0.04196094723722476,0.27627752388865806,0.16050408530674423
UTA,0.30587264475312886,0.12350433227891625,0.05556319625911154,0.049511759042772656,0.055288130931096136,0.2516847751340944,0.1581625636088571
WAS,0.3140141881943515,0.08245214830678624,0.1100254316691206,0.031722660955695356,0.024896265560165973,0.2670325257662963,0.16945522687725872
